period,stateid,price
2017,IA,8.73
2017,ID,8.26
2017,IL,9.49
2017,IN,9.77
2017,KS,10.6
2017,KY,8.57
2017,LA,7.79
2017,MA,17.12
2017,MAT,12.63
2017,MD,11.98
2017,ME,13.02
2017,MI,11.28
2017,MN,10.27
2017,MO,10.03
2017,MS,9.09
2017,MT,8.92
2017,MTN,9.51
2017,NC,9.04
2017,ND,8.78
2017,NE,9.08
2017,NEW,16.58
2017,NH,16.17
2017,NJ,13.32
2017,NM,9.59
2017,NV,8.76
2017,NY,14.74
2017,OH,9.84
2017,OK,8.2
2017,OR,8.81
2017,PA,10.13
2017,PACC,13.28
2017,PACN,23.28
2017,RI,16.42
2017,SAT,9.96
2017,SC,9.97
2017,SD,10.05
2017,TN,9.45
2017,TX,8.38
2017,US,10.48
2017,UT,8.6
2017,VA,9.18
2017,VT,14.6
2017,WA,7.94
2017,WI,10.76
2017,WNC,9.77
2017,WSC,8.26
2017,WV,9.0
2017,WY,8.28
2018,AK,19.36
2018,AL,9.63
2018,AR,7.78
2018,AZ,10.85
2018,CA,16.58
2018,CO,10.02
2018,CT,18.41
2018,DC,12.03
2018,DE,10.55
2018,ENC,10.17
2018,ESC,9.29
2018,FL,10.32
2018,GA,9.62
2018,HI,29.18
2018,IA,8.92
2018,ID,8.17
2018,IL,9.6
2018,IN,9.75
2018,KS,10.72
2018,KY,8.52
2018,LA,7.71
2018,MA,18.5
2018,MAT,12.63
2018,MD,11.57
2018,ME,13.44
2018,MI,11.4
2018,MN,10.37
2018,MO,9.93
2018,MS,9.24
2018,MT,8.84
2018,MTN,9.48
2018,NC,9.25
2018,ND,8.91
2018,NE,9.02
2018,NEW,17.63
2018,NH,17.01
2018,NJ,13.23
2018,NM,9.35
2018,NV,8.67
2018,NY,14.83
2018,OH,9.94
2018,OK,8.09
2018,OR,8.85
2018,PA,10.1
2018,PACC,13.66
2018,PACN,25.35
2018,RI,18.1
2018,SAT,9.9
2018,SC,9.67
2018,SD,9.97
2018,TN,9.58
2018,TX,8.48
2018,US,10.53
2018,UT,8.21
2018,VA,9.48
2018,VT,15.13
2018,WA,8.0
2018,WI,10.58
2018,WNC,9.81
2018,WSC,8.27
2018,WV,8.72
2018,WY,8.09
2019,AK,20.22
2019,AL,9.83
2019,AR,8.22
2019,AZ,10.52
2019,CA,16.89
2019,CO,10.17
2019,CT,18.66
2019,DC,12.27
2019,DE,10.52
2019,ENC,10.13
2019,ESC,9.4
2019,FL,10.44
2019,GA,9.86
2019,HI,28.72
2019,IA,9.08
2019,ID,7.89
2019,IL,9.56
2019,IN,9.91
2019,KS,10.26
2019,KY,8.61
2019,LA,7.71
2019,MA,18.4
2019,MAT,12.35
2019,MD,11.24
2019,ME,14.04
2019,MI,11.56
2019,MN,10.33
2019,MO,9.68
2019,MS,9.28
2019,MT,9.02
2019,MTN,9.39
2019,NC,9.45
2019,ND,8.85
2019,NE,9.08
2019,NEW,17.76
2019,NH,17.15
2019,NJ,13.42
2019,NM,8.99
2019,NV,8.78
2019,NY,14.34
2019,OH,9.58
2019,OK,7.86
2019,OR,8.81
2019,PA,9.81
2019,PACC,13.79
2019,PACN,25.48
2019,RI,18.49
2019,SAT,10.02
2019,SC,10.02
2019,SD,9.96
2019,TN,9.69
2019,TX,8.6
2019,US,10.54
2019,UT,8.24
2019,VA,9.52
2019,VT,15.36
2019,WA,8.04
2019,WI,10.66
2019,WNC,9.69
2019,WSC,8.36
2019,WV,8.49
2019,WY,8.1
2020,AK,19.82
2020,AL,9.84
2020,AR,8.32
2020,AZ,10.44
2020,CA,18.0
2020,CO,10.27
2020,CT,19.13
2020,DC,11.9
2020,DE,10.24
2020,ENC,10.28
2020,ESC,9.32
2020,FL,10.06
2020,GA,9.93
2020,HI,27.55
2020,IA,8.97
2020,ID,7.99
2020,IL,9.75
2020,IN,9.92
2020,KS,10.38
2020,KY,8.58
2020,LA,7.51
2020,MA,18.19
2020,MAT,12.56
2020,MD,11.15
2020,ME,13.54
2020,MI,12.21
2020,MN,10.57
2020,MO,9.64
2020,MS,9.13
2020,MT,9.13
2020,MTN,9.4
2020,NC,9.43
2020,ND,8.53
2020,NE,8.97
2020,NEW,17.73
2020,NH,16.63
2020,NJ,13.63
2020,NM,9.33
2020,NV,8.33
2020,NY,14.87
2020,OH,9.44
2020,OK,7.63
2020,OR,8.82
2020,PA,9.7
2020,PACC,14.63
2020,PACN,24.44
2020,RI,18.54
2020,SAT,9.84
2020,SC,9.9
2020,SD,10.06
2020,TN,9.52
2020,TX,8.36
2020,US,10.59
2020,UT,8.27
2020,VA,9.16
2020,VT,16.33
2020,WA,8.33
2020,WI,10.82
2020,WNC,9.69
2020,WSC,8.17
2020,WV,8.75
2020,WY,8.27
2021,AK,20.02
2021,AL,10.18
2021,AR,9.1
2021,AZ,10.73
2021,CA,19.65
2021,CO,10.9
2021,CT,18.32
2021,DC,12.81
2021,DE,10.5
2021,ENC,10.69
2021,ESC,9.69
2021,FL,10.67
2021,GA,10.43
2021,HI,30.31
2021,IA,9.13
2021,ID,8.17
2021,IL,10.14
2021,IN,10.36
2021,KS,10.47
2021,KY,9.12
2021,LA,8.82
2021,MA,19.06
2021,MAT,13.22
2021,MD,11.48
2021,ME,13.96
2021,MI,12.93
2021,MN,11.08
2021,MO,9.85
2021,MS,9.5
2021,MT,9.5
2021,MTN,9.7
