period,stateid,sales
2015,NEW,120170.38702
2015,NH,10999.149
2015,NJ,75489.62301
2015,NM,23093.55301
2015,NV,36019.69
2015,NY,148913.65506
2015,OH,149213.22396
2015,OK,61336.38499
2015,OR,47263.97396
2015,PA,146344.02799
2015,PACC,398550.49692
2015,PACN,15670.55601
2015,RI,7664.718
2015,SAT,815536.60998
2015,SC,81328.246
2015,SD,12101.979
2015,TN,99632.10797
2015,TX,392337.35401
2015,US,3758992.38936
2015,UT,30192.34999
2015,VA,112009.04499
2015,VT,5521.10901
2015,WA,90116.08597
2015,WI,68698.93192
2015,WNC,294805.73463
2015,WSC,591815.38202
2015,WV,32303.026
2015,WY,16924.76199
2016,AK,6123.20202
2016,AL,88225.141
2016,AR,46188.438
2016,AZ,78237.82802
2016,CA,256846.63497
2016,CO,54802.03698
2016,CT,28931.087
2016,DC,11394.003
2016,DE,11258.438
2016,ENC,569557.17701
2016,ESC,312587.31901
2016,FL,235721.822
2016,GA,138112.239
2016,HI,9445.389
2016,IA,48431.19301
2016,ID,23062.96099
2016,IL,141050.40899
2016,IN,103704.82099
2016,KS,40810.17399
2016,KY,74553.575
2016,LA,91452.659
2016,MA,53475.888
2016,MAT,368490.09199
2016,MD,61353.91101
2016,ME,11448.951
2016,MI,104467.81301
2016,MN,66546.49198
2016,MO,78618.05597
2016,MS,49050.16399
2016,MT,14100.60102
2016,MTN,276122.00804
2016,NC,134404.31899
2016,ND,18520.18799
2016,NE,30199.35404
2016,NEW,117801.602
2016,NH,10904.95599
2016,NJ,75359.37099
2016,NM,23039.54701
2016,NV,36144.63
2016,NY,147803.03801
2016,OH,150597.79604
2016,OK,61516.554
2016,OR,47349.34999
2016,PA,145327.68299
2016,PACC,393081.30096
2016,PACN,15568.59102
2016,RI,7524.27
2016,SAT,816179.09299
2016,SC,79577.54999
2016,SD,12129.53002
2016,TN,100758.43902
2016,TX,398661.80878
2016,US,3762461.6298
2016,UT,30179.53403
2016,VA,112280.66501
2016,VT,5516.45001
2016,WA,88885.316
2016,WI,69736.33799
2016,WNC,295254.98699
2016,WSC,597819.45979
2016,WV,32076.14599
2016,WY,16554.87
2017,AK,6185.799
2017,AL,86241.73001
2017,AR,46085.95101
2017,AZ,77646.26201
2017,CA,257267.93701
2017,CO,54830.186
2017,CT,28135.52999
2017,DC,10916.446
2017,DE,11128.60301
2017,ENC,553784.31099
2017,ESC,303944.78898
2017,FL,233154.549
2017,GA,133456.62
2017,HI,9324.20101
2017,IA,48921.99695
2017,ID,23793.78999
2017,IL,137196.31001
2017,IN,98965.968
2017,KS,40287.78698
2017,KY,72634.38698
2017,LA,91205.935
2017,MA,52513.32101
2017,MAT,361366.269
2017,MD,59303.885
2017,ME,11213.674
2017,MI,101899.09299
2017,MN,67152.57997
2017,MO,76461.41902
2017,MS,47828.787
2017,MT,14709.65602
2017,MTN,278014.35202
2017,NC,131421.31898
2017,ND,20140.42599
2017,NE,30359.00702
2017,NEW,115458.11898
2017,NH,10787.26099
2017,NJ,73382.94
2017,NM,23009.58399
2017,NV,36657.786
2017,NY,144992.43302
2017,OH,146643.83102
2017,OK,60492.12799
2017,OR,50043.81603
2017,PA,142990.89598
2017,PACC,399259.92504
2017,PACN,15510.00001
2017,RI,7384.671
2017,SAT,800716.93001
2017,SC,78096.757
2017,SD,12313.67503
2017,TN,97239.88499
2017,TX,401880.37401
2017,US,3723355.97399
2017,UT,30589.02102
2017,VA,111529.73201
2017,VT,5423.662
2017,WA,91948.17201
2017,WI,69079.10897
2017,WNC,295636.89095
2017,WSC,599664.38801
2017,WV,31709.019
2017,WY,16778.06699
2018,AK,5972.46698
2018,AL,90280.456
2018,AR,49602.70798
2018,AZ,78346.30199
2018,CA,255224.27197
2018,CO,56450.48002
2018,CT,28833.925
2018,DC,11357.91
2018,DE,11773.1
2018,ENC,575593.396
2018,ESC,320192.34294
2018,FL,238565.391
2018,GA,139866.07398
2018,HI,9337.161
2018,IA,51210.655
2018,ID,23753.50799
2018,IL,142654.80801
2018,IN,104194.376
2018,KS,42036.97904
2018,KY,76610.63597
2018,LA,94186.07201
2018,MA,53285.02903
2018,MAT,374923.344
2018,MD,62086.45499
2018,ME,12354.819
2018,MI,104869.49602
2018,MN,68708.38199
2018,MO,82055.835
2018,MS,50390.06798
2018,MT,14838.84499
2018,MTN,283325.09497
2018,NC,138287.404
2018,ND,20669.50599
2018,NE,30939.49201
2018,NEW,118634.34401
2018,NH,11046.28399
2018,NJ,76016.762
2018,NM,24048.61099
2018,NV,37780.26301
2018,NY,149929.851
2018,OH,152915.16698
2018,OK,64575.31599
2018,OR,49325.90401
2018,PA,148976.73101
2018,PACC,394555.96696
2018,PACN,15309.62798
2018,RI,7583.339
2018,SAT,835390.63299
2018,SC,81641.13799
2018,SD,12856.93799
2018,TN,102911.18299
2018,TX,424418.628
2018,US,3859185.26084
2018,UT,31242.408
2018,VA,118166.34802
2018,VT,5530.94799
2018,WA,90005.79099
2018,WI,70959.54899
2018,WNC,308477.78702
2018,WSC,632782.72398
2018,WV,33646.813
2018,WY,16864.67799
2019,AK,5818.80503
2019,AL,88095.11201
2019,AR,48093.03199
2019,AZ,77929.17002
2019,CA,250378.71
2019,CO,56520.82299
2019,CT,27899.996
2019,DC,11028.403
2019,DE,11469.42199
2019,ENC,559352.43704
2019,ESC,312220.62
2019,FL,240347.95505
2019,GA,139300.98999
2019,HI,9452.88701
2019,IA,51043.14802
2019,ID,23985.275
2019,IL,138319.48099
2019,IN,102104.20303
2019,KS,41159.62798
2019,KY,75345.382
2019,LA,93128.52501
2019,MA,51336.59799
2019,MAT,365097.43195
2019,MD,60720.658
2019,ME,11732.04
2019,MI,101249.29298
2019,MN,66965.594
2019,MO,78857.77499
2019,MS,48951.026
2019,MT,15321.27098
2019,MTN,283525.12003
2019,NC,136435.53101
2019,ND,21559.25501
2019,NE,30383.19001
2019,NEW,114457.86999
2019,NH,10711.65701
2019,NJ,73916.70397
2019,NM,24880.134
2019,NV,36982.38601
2019,NY,145600.34501
2019,OH,148521.92005
2019,OK,64795.946
2019,OR,50404.38599
2019,PA,145580.38298
2019,PACC,391835.89197
2019,PACN,15271.69204
2019,RI,7349.915
2019,SAT,831190.97203
2019,SC,80205.62
2019,SD,12868.93098
2019,TN,99829.09999
2019,TX,429343.40401
2019,US,3811150.46304
2019,UT,31142.56502
2019,VA,118435.37999
2019,VT,5427.66399
2019,WA,91052.79598
2019,WI,69157.53999
2019,WNC,302837.52098
2019,WSC,635360.90701
2019,WV,33247.013
2019,WY,16763.49601
2020,AK,5917.57699
2020,AL,83395.60502
2020,AR,45851.00301
2020,AZ,81960.07401
2020,CA,250174.67203
2020,CO,56050.26399
2020,CT,27113.673
2020,DC,9785.775
2020,DE,11129.05101
2020,ENC,536700.48688
2020,ESC,296681.93199
2020,FL,242440.17099
2020,GA,133470.14198
2020,HI,8796.76099
2020,IA,50639.86205
2020,ID,24461.35199
2020,IL,132469.277
2020,IN,97155.74401
2020,KS,39483.94599
2020,KY,71800.39901
2020,LA,89126.68501
