state,fyDeclared,incidentType
MI,2004,Severe Storm
WI,2004,Severe Storm
MO,2004,Severe Storm
LA,2004,Severe Storm
IA,2004,Severe Storm
NE,2004,Severe Storm
ND,2004,Severe Storm
NM,2004,Severe Storm
IL,2004,Severe Storm
MA,2004,Flood
OR,2004,Severe Storm
ME,2004,Severe Storm
WA,2004,Severe Storm
WV,2003,Hurricane
DE,2003,Hurricane
DC,2003,Hurricane
MD,2003,Hurricane
VA,2003,Hurricane
NH,2003,Severe Storm
VT,2003,Severe Storm
IN,2003,Severe Storm
NY,2003,Severe Storm
OH,2003,Tornado
ND,2003,Severe Storm
TN,2003,Severe Storm
FL,2003,Severe Storm
NE,2003,Severe Storm
TX,2003,Hurricane
OH,2003,Severe Storm
KY,2003,Severe Storm
WV,2003,Severe Storm
AS,2003,Severe Storm
AR,2003,Severe Storm
MS,2003,Severe Storm
IL,2003,Severe Storm
AL,2003,Severe Storm
OK,2003,Severe Storm
MO,2003,Severe Storm
KS,2003,Severe Storm
AK,2003,Severe Storm
VA,2003,Severe Storm
TX,2003,Severe Storm
AL,2003,Hurricane
LA,2003,Hurricane
MS,2003,Hurricane
LA,2002,Hurricane
IN,2002,Severe Storm
WI,2002,Tornado
ND,2002,Severe Storm
WI,2002,Severe Storm
VT,2002,Severe Storm
TX,2002,Flood
MT,2002,Severe Storm
AK,2002,Flood
IA,2002,Flood
MN,2002,Severe Storm
KY,2002,Severe Storm
MI,2002,Flood
MO,2002,Severe Storm
VA,2002,Severe Storm
MD,2002,Tornado
TN,2002,Severe Storm
OR,2002,Severe Storm
AR,2002,Severe Storm
AL,2002,Severe Storm
MS,2002,Severe Storm
OK,2002,Severe Storm
NE,2002,Severe Storm
NY,2001,Fire
OH,2001,Severe Storm
KY,2001,Severe Storm
TN,2001,Severe Storm
VA,2001,Severe Storm
MT,2001,Severe Storm
OK,2001,Severe Storm
PA,2001,Severe Storm
MS,2001,Severe Storm
FL,2001,Severe Storm
ND,2001,Flood
SD,2001,Flood
CO,2001,Severe Storm
NE,2001,Severe Storm
PR,2001,Severe Storm
ME,2001,Severe Storm
IL,2001,Flood
IA,2001,Severe Storm
KS,2001,Severe Storm
MA,2001,Severe Storm
AR,2001,Severe Storm
AL,2001,Severe Storm
VT,2001,Severe Storm
ND,2001,Tornado
WY,2001,Severe Storm
HI,2001,Severe Storm
AZ,2001,Severe Storm
MI,2001,Severe Storm
NJ,2018,Severe Storm
CT,2018,Tornado
IN,2018,Flood
MN,2014,Flood
WI,2016,Severe Storm
KY,2016,Severe Storm
OK,2015,Severe Storm
IL,2014,Tornado
MS,2013,Severe Storm
RI,2021,Hurricane
MO,2020,Severe Storm
CA,2023,Hurricane
MO,2023,Severe Storm
NH,2023,Flood
GA,2023,Hurricane
CO,2023,Flood
IL,2023,Severe Storm
MS,2023,Severe Storm
NY,2023,Severe Storm
MN,2023,Flood
CA,2023,Severe Storm
KY,2023,Flood
AL,2023,Severe Storm
FL,2023,Flood
NV,2023,Flood
IN,2023,Severe Storm
AZ,2023,Severe Storm
KY,2023,Severe Storm
AR,2023,Severe Storm
NH,2023,Severe Storm
GA,2023,Severe Storm
CA,2023,Flood
WA,2023,Severe Storm
WV,2023,Severe Storm
WV,2023,Flood
VI,2004,Severe Storm
IL,2002,Tornado
WV,2002,Severe Storm
PR,2002,Severe Storm
DC,2001,Severe Storm
WV,2001,Severe Storm
MN,2001,Flood
WI,2001,Flood
ME,2023,Hurricane
OR,2008,Severe Storm
