state,declarationDate,incidentType,incidentEndDate,fyDeclared,region
UT,2019-08-30T00:00:00.000Z,Fire,2019-08-31T00:00:00.000Z,2019,8
NV,2019-08-24T00:00:00.000Z,Fire,,2019,9
AK,2019-08-22T00:00:00.000Z,Fire,2019-09-09T00:00:00.000Z,2019,10
NV,2019-08-21T00:00:00.000Z,Fire,,2019,9
TX,2019-08-18T00:00:00.000Z,Fire,2019-09-04T00:00:00.000Z,2019,6
AK,2019-08-20T00:00:00.000Z,Fire,2019-09-13T00:00:00.000Z,2019,10
OR,2019-07-27T00:00:00.000Z,Fire,2019-08-05T00:00:00.000Z,2019,10
AZ,2019-07-22T00:00:00.000Z,Fire,,2019,9
NV,2019-07-13T00:00:00.000Z,Fire,2019-07-16T00:00:00.000Z,2019,9
AK,2019-06-28T00:00:00.000Z,Fire,2019-07-24T00:00:00.000Z,2019,10
NM,2019-03-08T00:00:00.000Z,Fire,2019-03-13T00:00:00.000Z,2019,6
CA,2018-11-09T00:00:00.000Z,Fire,,2019,9
CA,2018-11-09T00:00:00.000Z,Fire,,2019,9
CA,2018-11-08T00:00:00.000Z,Fire,,2019,9
CA,2018-11-08T00:00:00.000Z,Fire,,2019,9
UT,2018-09-21T00:00:00.000Z,Fire,2018-09-24T00:00:00.000Z,2018,8
WY,2018-09-18T00:00:00.000Z,Fire,2018-10-06T00:00:00.000Z,2018,8
AL,2016-01-21T00:00:00.000Z,Severe Storm,2015-12-31T00:00:00.000Z,2016,4
AL,2016-01-21T00:00:00.000Z,Severe Storm,2015-12-31T00:00:00.000Z,2016,4
WA,2018-08-13T00:00:00.000Z,Fire,2018-08-27T00:00:00.000Z,2018,10
SD,2018-08-12T00:00:00.000Z,Fire,2018-08-14T00:00:00.000Z,2018,8
WA,2018-08-12T00:00:00.000Z,Fire,2018-08-15T00:00:00.000Z,2018,10
WA,2018-08-12T00:00:00.000Z,Fire,2018-08-15T00:00:00.000Z,2018,10
AL,2016-01-21T00:00:00.000Z,Severe Storm,2015-12-31T00:00:00.000Z,2016,4
WA,2018-08-11T00:00:00.000Z,Fire,2018-08-27T00:00:00.000Z,2018,10
WA,2018-08-11T00:00:00.000Z,Fire,2018-08-17T00:00:00.000Z,2018,10
WA,2018-08-11T00:00:00.000Z,Fire,2018-08-17T00:00:00.000Z,2018,10
CA,2018-08-09T00:00:00.000Z,Fire,2018-08-18T00:00:00.000Z,2018,9
UT,2018-08-06T00:00:00.000Z,Fire,2018-08-11T00:00:00.000Z,2018,8
WA,2018-08-04T00:00:00.000Z,Fire,2018-08-10T00:00:00.000Z,2018,10
AL,2016-01-21T00:00:00.000Z,Severe Storm,2015-12-31T00:00:00.000Z,2016,4
TX,2018-07-29T00:00:00.000Z,Fire,,2018,6
ID,2018-07-29T00:00:00.000Z,Fire,2018-07-30T00:00:00.000Z,2018,10
CA,2018-07-28T00:00:00.000Z,Fire,2018-08-20T00:00:00.000Z,2018,9
CA,2018-07-28T00:00:00.000Z,Fire,2018-08-20T00:00:00.000Z,2018,9
CA,2018-07-28T00:00:00.000Z,Fire,2018-08-20T00:00:00.000Z,2018,9
WA,2018-07-28T00:00:00.000Z,Fire,2018-08-01T00:00:00.000Z,2018,10
AL,2016-01-21T00:00:00.000Z,Severe Storm,2015-12-31T00:00:00.000Z,2016,4
CA,2018-07-25T00:00:00.000Z,Fire,2018-08-01T00:00:00.000Z,2018,9
CA,2018-07-23T00:00:00.000Z,Fire,2018-08-18T00:00:00.000Z,2018,9
CA,2018-07-23T00:00:00.000Z,Fire,2018-08-18T00:00:00.000Z,2018,9
TX,2018-07-23T00:00:00.000Z,Fire,,2018,6
WA,2018-07-20T00:00:00.000Z,Fire,2018-07-21T00:00:00.000Z,2018,10
AL,2016-01-21T00:00:00.000Z,Severe Storm,2015-12-31T00:00:00.000Z,2016,4
WA,2018-07-17T00:00:00.000Z,Fire,2018-07-21T00:00:00.000Z,2018,10
WA,2018-07-10T00:00:00.000Z,Fire,2018-07-11T00:00:00.000Z,2018,10
CA,2018-07-07T00:00:00.000Z,Fire,2018-07-10T00:00:00.000Z,2018,9
CA,2018-07-06T00:00:00.000Z,Fire,2018-07-09T00:00:00.000Z,2018,9
CA,2018-07-05T00:00:00.000Z,Fire,2018-07-16T00:00:00.000Z,2018,9
CO,2018-07-04T00:00:00.000Z,Fire,2018-07-11T00:00:00.000Z,2018,8
UT,2018-07-02T00:00:00.000Z,Fire,2018-07-22T00:00:00.000Z,2018,8
UT,2018-07-02T00:00:00.000Z,Fire,2018-07-22T00:00:00.000Z,2018,8
CO,2018-06-30T00:00:00.000Z,Fire,2018-07-06T00:00:00.000Z,2018,8
CO,2018-06-28T00:00:00.000Z,Fire,2018-07-12T00:00:00.000Z,2018,8
CO,2018-06-28T00:00:00.000Z,Fire,2018-07-12T00:00:00.000Z,2018,8
CA,2018-06-24T00:00:00.000Z,Fire,2018-07-06T00:00:00.000Z,2018,9
NV,2018-06-17T00:00:00.000Z,Fire,,2018,9
WY,2018-06-11T00:00:00.000Z,Fire,,2018,8
NM,2018-06-08T00:00:00.000Z,Fire,2019-06-19T00:00:00.000Z,2018,6
NM,2018-06-01T00:00:00.000Z,Fire,2018-07-31T00:00:00.000Z,2018,6
TX,2018-05-02T00:00:00.000Z,Fire,2018-05-14T00:00:00.000Z,2018,6
AZ,2018-04-29T00:00:00.000Z,Fire,,2018,9
TX,2018-04-18T00:00:00.000Z,Fire,2018-04-22T00:00:00.000Z,2018,6
TX,2018-04-14T00:00:00.000Z,Fire,2018-04-15T00:00:00.000Z,2018,6
OK,2018-04-13T00:00:00.000Z,Fire,2018-04-24T00:00:00.000Z,2018,6
OK,2018-04-13T00:00:00.000Z,Fire,2018-04-23T00:00:00.000Z,2018,6
OK,2018-03-16T00:00:00.000Z,Fire,2018-03-16T00:00:00.000Z,2018,6
SD,2017-12-13T00:00:00.000Z,Fire,2017-12-14T00:00:00.000Z,2018,8
CA,2017-12-07T00:00:00.000Z,Fire,2017-12-16T00:00:00.000Z,2018,9
CA,2017-12-06T00:00:00.000Z,Fire,2017-12-15T00:00:00.000Z,2018,9
CA,2017-12-05T00:00:00.000Z,Fire,2017-12-14T00:00:00.000Z,2018,9
CA,2017-12-05T00:00:00.000Z,Fire,,2018,9
CA,2017-12-05T00:00:00.000Z,Fire,,2018,9
CA,2017-10-09T00:00:00.000Z,Fire,,2018,9
CA,2017-10-09T00:00:00.000Z,Fire,,2018,9
CA,2017-10-09T00:00:00.000Z,Fire,,2018,9
CA,2017-10-09T00:00:00.000Z,Fire,,2018,9
CA,2017-10-09T00:00:00.000Z,Fire,,2018,9
CA,2017-10-09T00:00:00.000Z,Fire,,2018,9
CA,2017-10-09T00:00:00.000Z,Fire,,2018,9
CA,2017-10-09T00:00:00.000Z,Fire,,2018,9
CA,2017-10-09T00:00:00.000Z,Fire,,2018,9
CA,2017-10-09T00:00:00.000Z,Fire,,2018,9
CA,2017-10-09T00:00:00.000Z,Fire,,2018,9
CA,2017-10-09T00:00:00.000Z,Fire,,2018,9
CA,2017-10-09T00:00:00.000Z,Fire,,2018,9
MT,2017-09-12T00:00:00.000Z,Fire,2017-09-15T00:00:00.000Z,2017,8
MT,2017-09-12T00:00:00.000Z,Fire,2017-09-15T00:00:00.000Z,2017,8
MT,2017-09-12T00:00:00.000Z,Fire,2017-09-15T00:00:00.000Z,2017,8
MT,2017-09-10T00:00:00.000Z,Fire,2017-09-20T00:00:00.000Z,2017,8
MT,2017-09-10T00:00:00.000Z,Fire,2017-09-20T00:00:00.000Z,2017,8
MT,2017-09-10T00:00:00.000Z,Fire,2017-09-18T00:00:00.000Z,2017,8
MT,2017-09-09T00:00:00.000Z,Fire,2017-09-21T00:00:00.000Z,2017,8
MT,2017-09-09T00:00:00.000Z,Fire,2017-09-16T00:00:00.000Z,2017,8
MT,2017-09-09T00:00:00.000Z,Fire,2017-09-17T00:00:00.000Z,2017,8
MT,2017-09-09T00:00:00.000Z,Fire,2017-09-17T00:00:00.000Z,2017,8
