period,stateid,stateDescription,sectorid,sectorName,sales,sales-units
2007,ENC,East North Central,ALL,all sectors,597844.177,million kilowatt hours
2007,ESC,East South Central,ALL,all sectors,339102.679,million kilowatt hours
2007,FL,Florida,ALL,all sectors,231084.6,million kilowatt hours
2007,GA,Georgia,ALL,all sectors,137453.878,million kilowatt hours
2007,HI,Hawaii,ALL,all sectors,10585.299,million kilowatt hours
2007,IA,Iowa,ALL,all sectors,45269.523,million kilowatt hours
2007,ID,Idaho,ALL,all sectors,23755.186,million kilowatt hours
2007,IL,Illinois,ALL,all sectors,146055.151,million kilowatt hours
2007,IN,Indiana,ALL,all sectors,109420.15,million kilowatt hours
2007,KS,Kansas,ALL,all sectors,40165.977,million kilowatt hours
2007,KY,Kentucky,ALL,all sectors,92404.1,million kilowatt hours
2007,LA,Louisiana,ALL,all sectors,79566.937,million kilowatt hours
2007,MA,Massachusetts,ALL,all sectors,57138.822,million kilowatt hours
2007,MAT,Middle Atlantic,ALL,all sectors,381684.807,million kilowatt hours
2007,MD,Maryland,ALL,all sectors,65390.66,million kilowatt hours
2007,ME,Maine,ALL,all sectors,11860.202,million kilowatt hours
